Date,Open,High,Low,Close,Volume
2021-01-22,2821538.466976166,3095677.8734014034,2650855.015610993,3021875.5118638277,77207272511
2021-01-23,3020044.0342280865,3054397.5620114803,2883387.763576865,2935985.076053798,48354737975
2021-01-24,2935686.0884920955,3016221.5712382793,2848003.694335282,2956286.367257476,48643830599
2021-01-25,2955958.5896255374,3186399.855221987,2937829.428752005,2963337.430980861,59897054838
2021-01-26,2962625.189678073,3002537.883321643,2841006.9919867516,2981965.142884314,60255421470
2021-01-27,2981432.258354485,2981432.258354485,2688737.741072476,2786282.254257679,62576762015
2021-01-28,2787059.9437946677,3099931.6509838104,2748804.7356232405,3064022.028845191,76517157706
2021-01-29,3142080.313808918,3516323.6885453463,2935726.1442419887,3141871.094043851,117894572511
2021-01-30,3139998.4877363443,3189326.428448558,3015871.798707962,3137580.479477167,65141828798
2021-01-31,3137704.580773711,3139302.51908195,2954528.205949664,3031818.2788529396,52754542671
2021-02-01,3031838.306727886,3171336.3897777796,2964970.4180702567,3070529.657640338,61400400660
2021-02-02,3070165.579485059,3286574.9940173626,3066138.903698921,3251180.016736746,63088585433
2021-02-03,3251228.655861616,3431536.0375995636,3245109.4247841835,3430794.6485859156,61166818159
2021-02-04,3431070.7471476793,3533345.236406207,3325085.021133423,3380802.926875472,68838074392
2021-02-05,3381304.696671009,3499811.0632925034,3356329.578971982,3492340.3082967997,58598066402
2021-02-06,3491798.1251107454,3739746.4357151985,3491798.1251107454,3595038.9593354464,71326033653
2021-02-07,3593590.5148080587,3627616.80142045,3428419.914842248,3561843.4718927145,65500641143
2021-02-08,3560322.4263186455,4230246.975188494,3486115.9308758974,4229563.523955941,101467222687
2021-02-09,4228513.133443117,4395028.819795966,4135306.26456666,4255624.080948949,91809846886
2021-02-10,4254585.492576718,4316459.466380477,4017582.773271203,4112529.2061430216,87301089896
2021-02-11,4110746.3676321507,4437121.333043098,4045654.7011338472,4386386.791756511,81388911810
2021-02-12,4383429.819076896,4462964.444536686,4250485.142822027,4349354.178058386,76555041196
