Date,Open,High,Low,Close,Volume
2021-01-22,102441.00449782982,116430.63161579892,95822.19417368248,113210.11132507026,43918338506
2021-01-23,113096.191610042,116473.06791109592,109948.98764724284,112704.57512671128,27253895441
2021-01-24,112724.71476435289,127730.81241720915,112181.19042595848,127410.18759775162,36418163554
2021-01-25,127321.42566537112,134384.51505474,119478.19913599268,121258.12064052373,43565777745
2021-01-26,121196.49469049275,125988.84552390501,114750.82713346183,124246.81157298386,41572917750
2021-01-27,124363.57006046548,125255.391661603,111269.03919059783,114736.80091523752,39394416990
2021-01-28,114562.1717042774,124176.36754631624,112263.58188472316,121997.65439343452,34637234789
2021-01-29,125348.10999338701,130831.80250561982,118312.33540667966,126578.25962487236,53611955259
2021-01-30,126551.6265746504,128398.11394033208,121634.80562780052,125991.62841501087,30616574234
2021-01-31,126056.46195438877,126248.03438991308,117970.05097692832,120394.87676050141,25198853581
2021-02-01,120382.88462332636,125783.82803617045,116675.10133487359,125343.87418724597,29210670920
2021-02-02,125386.41106896847,141270.0805793479,124769.88333819062,138725.07636982575,45437142801
2021-02-03,138686.25000957772,152066.23397878185,138250.49843798578,152066.23397878185,41874566399
2021-02-04,152090.09531416744,154655.1721037142,142997.0600952506,146010.0929426849,44396871836
2021-02-05,146012.89818632975,160819.11943542212,146012.89818632975,157352.79944954813,40108628454
2021-02-06,157274.6661494635,159153.11764591932,150982.13583714142,153616.9413721077,39873420648
2021-02-07,153594.86823984236,154732.99246825278,137494.24498590082,147792.23852484673,39889440151
2021-02-08,147738.6259600483,162108.2127122581,143887.57407285646,159913.24926352128,48012285956
2021-02-09,159941.56993043795,166262.3650283292,156709.13573642075,161874.2151577063,44180727529
2021-02-10,161874.65103221685,167245.04970051348,154413.07175377384,159695.94905560464,41916084617
2021-02-11,159647.49992731586,165399.48996520042,156439.83234651387,163317.40683842823,36021495262
2021-02-12,163289.13087658957,170418.39495767653,159689.13153120875,168786.46961388362,37905036865
2021-02-13,168828.05651269853,171356.53101962805,162110.15738315135,166092.6421996802,35359490535
2021-02-14,166116.67117910832,169209.59200093895,163877.38264552876,165266.28000901267,31439114900
2021-02-15,165228.98479768634,167898.19089017808,154171.75374269858,162950.5457920432,38955610883
2021-02-16,162873.13894947618,167045.63152379915,158359.09957918897,163067.41604221985,34269369268
2021-02-17,163093.2891061157,169714.39056551084,159005.83676642925,169237.44326453656,35955412703
2021-02-18,169214.37544428557,178525.35909475014,169214.37544428557,177385.10019886494,28255902969
2021-02-19,177514.25316922367,180323.8443829231,173652.840880204,179464.84748531133,26268814253
2021-02-20,179440.87438723072,186434.24620744956,167596.14103063196,175744.85971056297,34696091102
2021-02-21,175666.03348176926,180755.315443296,173074.54716739058,177215.89147861302,23626547717
2021-02-22,177211.9350792095,177293.95772108063,144715.84740560874,163152.14334131032,42409646036
2021-02-23,163098.6872442849,163098.6872442849,126241.16098416969,143761.59516303614,52029864713
2021-02-24,143878.09659631923,156650.8291384317,138342.84795287624,148922.76288999617,31329000537
2021-02-25,148814.56542495266,152919.0392230898,134134.93778050318,135109.53083356842,24481681873
2021-02-26,135379.5830335319,142738.4523952566,128908.94769043475,132393.06029735506,31435997881
2021-02-27,132475.07176295668,139616.70797438174,131271.80105962232,133669.30086426437,20742103233
2021-02-28,133658.98516751453,134440.0499378927,119066.02949304879,129647.77733836696,27637026080
2021-03-01,129748.68787569553,143531.84459089488,129681.39555702731,143258.37245246395,24032838645
2021-03-02,143199.39527830482,146270.79060507566,133793.1115778014,136657.2876917459,22523669722
2021-03-03,136551.30312806368,151100.41429727525,135677.36355812848,144278.81056302413,22674780680
2021-03-04,144166.25435287505,148591.16297388822,138350.58193137124,141171.50588234514,22906118718
2021-03-05,141137.39590782672,141717.53370510787,132837.80876589566,140380.52776091918,21067146937
2021-03-06,140297.92395303398,152816.72047580406,139086.48339669406,151501.5194334127,22746262366
2021-03-07,151561.11130239442,158476.49511403218,149837.29467076063,157765.06967891753,23809935410
2021-03-08,157863.53261322528,168022.85100019723,152984.76686402783,167980.3476472832,27630991158
2021-03-09,168018.8163669072,171031.0780517459,165191.41017962247,171031.0780517459,23461244507
2021-03-10,171071.3796795681,171557.92739604414,161732.80181970447,164724.465639852,25154173185
2021-03-11,164620.79456395656,168812.67796586454,158814.59961898997,167199.10405659303,24013132909
2021-03-12,167231.3140652962,168417.0156729743,158298.58007983863,162246.60845749453,22435821312
2021-03-13,162252.4648227133,177403.07164022326,158725.1335816309,176216.49828352407,25014689475
2021-03-14,176141.27081350982,176774.47353838384,168931.80582248047,169796.49144126847,19344589211
2021-03-15,169752.7586987093,172967.28850898516,160186.95610361174,164041.09264118597,26244738810
2021-03-16,164106.2391161099,166362.7614572607,157481.19243358076,165439.10984058306,23828509590
2021-03-17,165446.83264280856,168446.4651431106,160147.91739424318,166947.72740296647,24512917348
2021-03-18,166921.09435274452,169254.6435432993,156168.53958063573,163231.08133279905,23263845504
2021-03-19,163204.86180454865,168572.54463935643,159900.11714685708,166414.3958223574,21249297710
2021-03-20,166405.10834240168,171640.85531574488,165874.62671051547,165957.5769827552,22677674970
2021-03-21,165955.00644076988,166938.90932632983,161517.5356928371,163721.99897065014,22977404620
2021-03-22,163735.28755508736,165896.5657275468,153292.19250920415,154851.77386051416,23599296129
2021-03-23,154809.46050418168,157944.0576349832,152215.50423424318,153690.49240169674,21998237965
2021-03-24,153631.20229199156,159346.6459286064,143815.06243633106,145886.5616358854,31228051473
2021-03-25,145859.99564328045,148861.9528076388,142861.27959707752,146064.71137173846,29650328701
2021-03-26,146051.0539704077,155912.8041819036,146007.71239728108,155905.40549149364,22548516548
2021-03-27,155923.17576000094,158650.4649250917,153293.98071232438,157155.38182507455,18102277710
2021-03-28,157147.234324608,158262.24602768943,153142.0952097997,154853.78558902442,16599472938
2021-03-29,154845.29162420332,168205.5830065459,154154.35229108483,166603.0736040808,22796570548
2021-03-30,166583.05690540373,170383.4020578675,164244.3554546088,169015.4601996988,22512781703
2021-03-31,169021.37244626507,178336.23426224664,164160.10873510689,175637.55634707958,30226902621
2021-04-01,175710.358566612,182109.92401194942,175071.41123921424,181031.55929656327,30914259795
2021-04-02,181000.0533928387,197069.88602430373,179511.89957991242,196225.16122284532,34862511022
2021-04-03,196194.9852951914,196384.1771853119,185714.24857362732,185714.24857362732,32011518871
2021-04-04,185645.46981111538,193215.52596133947,183763.1289728731,191637.95081613213,26006501902
2021-04-05,191650.58000066876,196020.05432495475,186077.28733584285,192989.72061233222,28889391170
2021-04-06,193136.75561389327,196957.40804804116,188386.46108261496,193950.29862344265,29222865881
2021-04-07,193890.75145953894,195306.11422920227,178116.89997328073,180463.95009739324,36116271935
2021-04-08,180285.95682931316,191490.87110949308,179365.47927317393,191221.45595689118,25312956529
2021-04-09,191239.62857110053,192530.71122390777,188162.53334688395,189714.00072653592,19812472092
2021-04-10,189622.6906047091,201148.196175538,188860.58078740537,195558.31792677194,24986243611
2021-04-11,195577.9881610945,198236.26386201382,194086.42558597028,197546.44215584546,19692836132
2021-04-12,197519.41793619096,201397.4493379593,193216.93417129666,195870.6276017204,21727936609
2021-04-13,195871.63346597552,212265.56673671305,195797.95949742198,210504.43254121393,29456642939
2021-04-14,210519.09580679983,224283.58815193176,209165.5154549405,222948.47099728882,35592822986
2021-04-15,223033.58946581185,232942.93940911442,220643.0077719912,230640.20319357514,32325606817
2021-04-16,230409.99439438432,233244.00575694442,212288.61220442504,222659.29620020837,36196928256
2021-04-17,222479.33590869606,228650.60369692743,213662.66748201102,214689.207835719,32349808978
2021-04-18,214831.79468201846,216572.09631116688,184189.3248340413,204823.31122823805,50696368718
2021-04-19,204905.32269383967,208452.58122344315,191048.87200324982,198327.57398384064,34060654971
2021-04-20,197938.52804249525,214775.26511088014,188618.52514254302,213344.79202485085,39433483315
2021-04-21,213431.6986964941,225887.02518476546,204935.92331973463,216507.20689044148,38899067643
2021-04-22,215877.24528372288,241808.09049289674,212040.05197071284,220058.06417882442,53575904724
2021-04-23,219849.4255797714,223354.25899034739,193827.67259447277,216400.49586924165,55413933925
2021-04-24,216731.2910939455,216780.89137799293,198099.08633015305,202487.6050176695,31854226936
2021-04-25,202742.87101308256,215530.758576639,198906.79532702267,212049.14945408702,31814355546
2021-04-26,212362.12970520556,232216.90658976138,211340.10456437618,232047.00494080037,35208325408
2021-04-27,232005.76450634003,245039.82058193535,227550.992893219,243801.28874832392,32275969215
2021-04-28,243967.9492791295,252463.59054065496,234757.0491220504,251447.57823281735,34269031076
2021-04-29,251655.36743538827,256171.1614799872,244647.39940720052,252408.62564724684,32578127990
2021-04-30,252487.105411686,255995.60463865846,249780.3247011304,253903.7422760725,29777179889
2021-05-01,253869.98994217813,270222.12396498024,252319.95312502235,269714.16251613945,28726205272
2021-05-02,269683.6960054785,273284.75709646195,261898.32902330905,270278.45236326754,28032013047
2021-05-03,270197.8491076231,315871.6638012603,270197.8491076231,314136.52560862154,49174290212
2021-05-04,314140.6831808761,322605.4332334995,291216.0756472796,297889.29205136,62402045158
2021-05-05,296692.22417759895,324242.15319690853,294178.7258718014,322531.938085258,48334198383
2021-05-06,322728.5733708665,329500.52093972266,310030.5877191797,319611.04240359366,44300394788
2021-05-07,319540.07309225947,327156.141944021,308567.7034515962,319047.8478308767,39607240515
2021-05-08,318796.8958754912,361661.3093520105,316213.23294976354,357310.81233333796,50208491286
2021-05-09,358117.9178116545,364508.15107195824,342784.65722168237,359709.30682596564,50568290278
2021-05-10,359303.5858905241,384303.8501959294,337333.6552977413,361856.22349211574,62691789007
2021-05-11,361487.98776458204,382540.10075336695,346437.77737600356,381669.6034744382,52679737865
2021-05-12,382212.94899252057,399399.36918106675,346617.1565015018,346617.1565015018,69023382175
2021-05-13,350560.4573171586,369205.3806756437,324969.52716860175,340144.12943673134,78398214539
2021-05-14,340599.5177138373,381881.63965941966,339068.480554834,373462.1758508161,48174271215
2021-05-15,373177.82920216024,378051.71092158556,333091.90338131785,333091.90338131785,42422321751
2021-05-16,333431.46080131084,355136.2008713633,306799.7293791622,328457.7079376206,47359478734
2021-05-17,327893.4404430315,328481.46868658066,286479.5279274881,300523.2034847662,54061732774
2021-05-18,300017.32082205266,326165.0527171716,297227.7686595693,309465.6943534985,40416525218
2021-05-19,309702.5642093122,314763.64844288677,178759.44605945796,225289.94416292012,84482912776
2021-05-20,223363.5576465726,274040.40702999383,198697.48615179956,254918.838129811,67610826680
2021-05-21,253824.48017276824,269010.3034154773,193489.61279459298,222537.96661850065,53774070802
2021-05-22,223031.7565576136,227423.5610683635,198504.7849130556,210185.61827741563,42089937660
2021-05-23,210429.3056576252,218307.18979872763,159075.6884508133,193144.6907652393,56005721977
2021-05-24,192261.74312208593,244692.17154282331,191410.60314193368,242036.62285166234,53697121740
2021-05-25,242534.88329857588,251827.97374156862,219217.60871231556,247808.11547982693,49558333256
2021-05-26,247846.91948753595,266586.86348932236,242815.16178513318,264477.70026154816,42499766020
2021-05-27,264482.6178201288,264482.6178201288,241946.60917709768,250541.94276257604,33373635283
2021-05-28,251089.49055799097,252819.37590396404,213907.89718741179,221556.93603420258,39999114805
2021-05-29,221022.33035887033,235018.6185334623,202200.59841687232,208703.1978907436,33773720220
2021-05-30,208591.01049748808,226343.6204989776,200400.9284441322,218846.80244279653,25876619428
2021-05-31,218562.34403144568,248652.81792874634,208702.3708468005,248569.53236842155,31007383150
2021-06-01,247893.41276866198,250839.41035162657,231742.94335274398,241114.40179748088,27363223090
2021-06-02,241200.257899791,256484.27584633976,233962.32695034146,247761.97983932495,27723267359
2021-06-03,247968.09260147065,264711.7313449085,244242.50551570207,261403.95791818202,30038207402
2021-06-04,261590.6463239342,261590.6463239342,234624.83385384828,246120.3870224133,34173841611
2021-06-05,246433.90373446792,257957.6434547156,234221.63875531405,240845.098407574,30496672724
2021-06-06,240769.27859527618,251178.4983683005,239525.35979976505,248583.0333019793,25311639414
2021-06-07,248395.76373021305,260493.76252998412,236580.25631836057,237154.1354047209,30600111277
2021-06-08,237551.40708041936,239954.1932605356,212002.18676964194,230486.61889808625,41909736778
2021-06-09,229823.7990590334,240340.9592429027,220851.17696772516,238802.50104095042,36075832186
2021-06-10,239065.76924532652,239872.85237110406,222975.62933217734,226282.35218957067,28753626390
2021-06-11,226405.06762869656,228470.19635463506,213038.87517605722,215501.65557085723,24832564195
2021-06-12,215591.6915979609,224058.3863214776,207443.74408062547,217215.17885828018,25724364410
2021-06-13,217234.02204865962,233226.8166544512,211736.07979281247,229658.30086025596,27092945370
2021-06-14,229692.99200078845,238634.56641542166,226087.3039342314,232359.1581479758,26964576331
2021-06-15,236925.20070025325,241637.2723898366,230277.35442794114,239046.92605494708,29005279219
2021-06-16,232997.6360720545,233891.6035169363,215554.92167130113,216773.805623129,24101926180
2021-06-17,216741.10385856777,224969.16287568957,211705.07682121545,217171.01024121046,21871633186
2021-06-18,217407.67892417312,217646.47109834105,196598.96273259073,204328.56012994796,22752818388
2021-06-19,204642.2333097756,208602.56676015258,198574.43542458862,199454.65605798364,18765854896
2021-06-20,198799.0113839507,208324.94822573662,187686.37956104428,205668.14779239148,22535930423
2021-06-21,205572.32245768607,206867.49562513083,170952.02829756215,172898.6997430548,33745173825
2021-06-22,172735.7385574542,182485.73725020513,156341.07882919908,171662.92844801024,35547251725
2021-06-23,171999.39004135132,187097.4683922045,167325.13884776086,182172.29877203703,28408659206
2021-06-24,180269.86300123108,186072.86153312027,172805.72435707223,182055.10441004485,20272845769
2021-06-25,182124.64315888286,184737.99025640637,164288.12172597647,166010.92131708562,22774334998
2021-06-26,165797.32045437396,169395.06219331548,157435.9844234474,167477.82904168963,20637542361
2021-06-27,167638.75614624098,181277.04605616257,165830.42456463724,181179.67839626595,19885474742
2021-06-28,181407.819585599,195912.02450395375,179780.77827157825,190405.11887996644,25514602841
